noFinesset,title,capacity,postcode,city
970210340,EHPAD Résidence Floréa Etang Z'abricot,96,97200,FORT DE FRANCE
970210738,EHPAD L' Espace Gran Moun,64,97200,FORT DE FRANCE
970210779,EHPAD Kay-Gran-Moun,33,97200,FORT DE FRANCE
970211363,EHPAD Centre Emma Ventura,275,97200,FORT DE FRANCE
970212874,Centre d'accueil de jour Pierre Blanchard,12,97200,FORT DE FRANCE
970111381,EHPAD Résidence Domaine de Choisy,52,97190,LE GOSIER
970109856,EHPAD L'Oasis de Bois Jolan,90,97180,STE ANNE
970109716,Accueil de jour Hibiscus,10,97180,STE ANNE
970111779,EHPAD Soleyanou du Moule,90,97160,LE MOULE
970109658,EHPAD Résidence Emeraude,24,97160,LE MOULE
970111399,EHPAD Les nouvelles eaux marines,32,97160,LE MOULE
970110078,EHPAD Les Perles Grises,46,97160,LE MOULE
970108890,EHPAD Béthany Home de Saint-Martin,40,97150,ST MARTIN
970100434,USLD du Centre hospitalier gérontologique Jacques Salin,0,97139,LES ABYMES
970108262,EHPAD Jérémie-Jalton,40,97139,LES ABYMES
970113106,EHPAD Jacques Salin,86,97139,LES ABYMES
970108908,EHPAD CH Jacques Salin,69,97139,LES ABYMES
970109807,EHPAD Résidence Médico-sociale de Marie-Galante,40,97134,ST LOUIS
970111308,EHPAD Louis-Vialenc,26,97133,ST BARTHELEMY
970104550,USLD du Centre hospitalier de Capesterre-Belle-Eau,0,97130,CAPESTERRE BELLE EAU
970111415,EHPAD Nou Gran Moun,114,97130,CAPESTERRE BELLE EAU
970109971,EHPAD Le Paradis des Aînés,28,97129,LAMENTIN
970109310,EHPAD Kalana Groupe Manioukani,80,97125,BOUILLANTE
970110052,EHPAD Les Jardins de Belost,48,97120,ST CLAUDE
970109302,EHPAD Soleyanou de Portlouis,95,97117,PORT LOUIS
970104576,USLD du Centre hospitalier de Beauperthuy,0,97116,POINTE NOIRE
970110144,Les Roses de Lima,83,97115,STE ROSE
970108882,EHPAD Résidence Les Flamboyants,78,97113,GOURBEYRE
970111373,EHPAD Saint Christophe,30,97112,GRAND BOURG
970111126,EHPAD Akamanman,38,97111,MORNE A L EAU
970103875,MOUN DOUBOUT,18,97110,POINTE A PITRE
970102406,Foyer-Résidence Achille-René Boisneuf,68,97110,POINTE A PITRE
970107215,Foyer-Logement Gerty Archimede,71,97110,POINTE A PITRE
970109880,EHPAD Résidence le Sacré Coeur,60,97100,BASSE TERRE
970109203,Centre d'accueil de jour Zicak,12,97100,BASSE TERRE
950806042,Résidence Jean Moracchini,78,95880,ENGHIEN LES BAINS
950807420,EHPAD Résidence Arpage,72,95880,ENGHIEN LES BAINS
950802504,EHPAD La commanderie des hospitaliers,61,95880,ENGHIEN LES BAINS
950806109,Résidence Louis Peronnet,84,95870,BEZONS
950809269,EHPAD Résidence Arc en ciel,60,95870,BEZONS
950807529,EHPAD Résidence du Vexin,85,95770,ST CLAIR SUR EPTE
950808469,Résidence Les Sansonnets,60,95750,CHARS
950807263,Colisee Résidence du Manoir ,72,95710,BRAY ET LU
950781500,EHPAD Jaques Achard,80,95670,MARLY LA VILLE
950801399,USLD du Groupement hospitalier intercommunal du Vexin site d,0,95640,MARINES
950000372,EHPAD de Marines,101,95640,MARINES
950783423,EHPAD Résidence Quai-des-Brumes Groupe Orpea,81,95620,PARMAIN
950805994,Résidence Yvonne Colas,76,95610,ERAGNY SUR OISE
950004929,EHPAD Solemnes,91,95610,ERAGNY SUR OISE
950043117,USLD du Centre hospitalier Simone Veil - Site Eaubonne,0,95600,EAUBONNE
950805960,Résidence Gabriel Dangien,76,95600,EAUBONNE
950802686,EHPAD Wallon,23,95600,EAUBONNE
950780304,EHPAD Les Tilleuls,104,95600,EAUBONNE
950783514,EHPAD Le Clos des lilas,84,95600,EAUBONNE
950808956,EHPAD Korian La Croisée Bleue,117,95600,EAUBONNE
950783431,EHPAD Résidence Arpaje Louis Grassi,82,95590,PRESLES
950807545,EHPAD Korian Les Hauts d'Andilly,59,95580,ANDILLY
950806752,EHPAD CCAS EDF GDF d'Andilly,96,95580,ANDILLY
950805945,Résidence les myosotis,99,95570,BOUFFEMONT
950014589,EHPAD Résidence Le Mesnil,84,95570,BOUFFEMONT
950806950,EHPAD Les Charmilles,72,95560,MONTSOULT
950806539,Résidence la closeraie,63,95550,BESSANCOURT
950806315,EHPAD La maison de Thélème,19,95550,BESSANCOURT
950010868,EHPAD Le Clos de l'Oseraie,112,95520,OSNY
950042952,Marpa de Vetheuil,24,95510,VETHEUIL
950801712,USLD du Centre hospitalier de Gonesse,0,95500,GONESSE
950801415,EHPAD du Centre hospitalier de Gonesse,88,95500,GONESSE
950806331,EHPAD Résidence L'Églantier,79,95500,GONESSE
950800243,EHPAD Le Parc Fleuri,88,95500,GONESSE
950781682,Résidence Les Cèdres,80,95460,EZANVILLE
950807826,EHPAD Éleusis d'Ézanville,100,95460,EZANVILLE
950802587,EHPA MA VALLEE,49,95450,US
950807974,Résidence Molière,26,95440,ECOUEN
950806067,Résidence Le parc,46,95420,MAGNY EN VEXIN
950801597,EHPAD du Centre hospitalier,118,95420,MAGNY EN VEXIN
950780429,Résidence les petits balcons,58,95400,VILLIERS LE BEL
950004978,EHPAD Orpéa Bellevue,52,95400,VILLIERS LE BEL
950004358,EHPAD Le Clos d'Arnouville,89,95400,ARNOUVILLE
950807404,EHPAD Domaine de Saint-Pry,96,95390,ST PRIX
950002808,Résidence Des jardins,82,95380,LOUVRES
950805986,EHPAD Jules Fossier,94,95380,LOUVRES
950780312,EHPAD Résidence Aubert Bottard,90,95370,MONTIGNY LES CORMEILLES
950806372,Résidence les pivoines,66,95360,MONTMAGNY
950807537,EHPAD Le Patio,86,95360,MONTMAGNY
950806521,Résidence Charles de Foucauld,69,95350,ST BRICE SOUS FORET
950806984,Résidence de Val de France,92,95330,DOMONT
950808865,Résidence Hélène Moutet,100,95330,DOMONT
950805978,SNC Résidence rachel,74,95320,ST LEU LA FORET
950802579,EHPAD Les Tamaris,60,95320,ST LEU LA FORET
950808519,EHPAD Maison du Parc,85,95310,ST OUEN L AUMONE
950801381,EHPAD Les jardins d'Ennery,142,95300,ENNERY
950807370,Hôpital gériatrique d'Ile Adam parmain,0,95290,L ISLE ADAM
950011148,EHPAD Chantepie Mancier,50,95290,L ISLE ADAM
950783506,Résidence du fief de la lampe,48,95270,VIARMES
950130021,Maison du Val d'Ysieux,85,95270,LUZARCHES
950808667,Groupe hospitalier Carnelle- Les Portes de l'Oise,0,95270,ST MARTIN DU TERTRE
950781690,EHPAD de Viarmes,60,95270,VIARMES
950780353,EHPAD Résidence Bellefontaine,80,95270,BELLEFONTAINE
950780718,Résidence forêt de carnelle,68,95260,BEAUMONT SUR OISE
950801449,EHPAD Saint-Laurent,178,95260,BEAUMONT SUR OISE
950806034,Résidence Eugène Robin,35,95250,BEAUCHAMP
950780395,Résidence Médicalisée Zemgor,246,95240,CORMEILLES EN PARISIS
950807172,Maison de famille la Châtaigneraie,65,95240,CORMEILLES EN PARISIS
950783464,Fondation Chabrand Thibault,119,95240,CORMEILLES EN PARISIS
950780551,EHPAD Villa Beau Soleil,80,95240,CORMEILLES EN PARISIS
950802033,Résidence Edmond Dobler,82,95230,SOISY SOUS MONTMORENCY
950801977,EHPAD Le Bois Quillon,92,95230,SOISY SOUS MONTMORENCY
950783456,Résidence Les érables,80,95220,HERBLAY
950009738,EHPAD Les Jardins Sémiramis,98,95220,HERBLAY
950000182,EHPAD Korian des Lys,24,95220,PIERRELAYE
950783225,Résidence La fontaine,80,95210,ST GRATIEN
950040238,Ehpad Les Magnolias,78,95210,ST GRATIEN
950807206,EHPAD Les Jardins de l'Iroise,81,95210,ST GRATIEN
950807271,EHPAD Korian Les Merlettes,156,95200,SARCELLES
950800250,EHPAD Annie Beauchais,90,95200,SARCELLES
950015479,Accueil jour Renée Ortin,19,95200,SARCELLES
950783266,Résidence Ambroise-Croizat,57,95190,GOUSSAINVILLE
950015958,EHPAD Résidence de Goussainville,91,95190,GOUSSAINVILLE
950802660,EHPAD,86,95190,FONTENAY EN PARISIS
950808857,Résidence Victor Colet,162,95170,DEUIL LA BARRE
950783241,Résidence La sablonnière,72,95170,DEUIL LA BARRE
950045344,Résidence autonomie Montjoie,39,95160,MONTMORENCY
950802025,Résidence Héloïse,80,95160,MONTMORENCY
950802546,Maison de retraite Orpéa Le Château De Saint Valéry,79,95160,MONTMORENCY
950802553,EHPAD Villa Jeanne-d'Arc,73,95160,MONTMORENCY
950460022,EHPAD Résidence Montjoie,56,95160,MONTMORENCY
950801563,EHPAD Les Côteaux de Montmorency,100,95160,MONTMORENCY
950780338,EHPAD Les Arméniens,83,95160,MONTMORENCY
950802520,EHPAD La Cerisaie,51,95160,MONTMORENCY
950805796,EHPAD Jeanne Callarec,114,95160,MONTMORENCY
950783258,Résidence Jean Nohain,77,95150,TAVERNY
950807479,EHPAD Sainte-Geneviève,88,95150,TAVERNY
950002030,EHPAD Saint-Geneviève,60,95150,TAVERNY
950807388,EHPAD Résidence Le Village,93,95150,TAVERNY
950800227,EHPAD Le Castel,39,95150,TAVERNY
950783332,Résidence Jeanne Carnajac,77,95140,GARGES LES GONESSE
950040303,Résidence bonne rencontre,80,95130,FRANCONVILLE LA GARENNE
950802066,EHPAD Yvonne de Gaulle,133,95130,FRANCONVILLE LA GARENNE
950807602,EHPAD Résidence Le Grand Clos,120,95130,LE PLESSIS BOUCHARD
950009258,EHPAD Korian Résidence des Montfrais ,120,95130,FRANCONVILLE LA GARENNE
950783282,Résidence Jeanne d’Arc,73,95120,ERMONT
950000117,EHPAD Arpage les Primevères,72,95120,ERMONT
950783498,Résidence Maurice Utrillo,76,95110,SANNOIS
950807800,USLD du Centre hospitalier Victor-Dupouy,0,95100,ARGENTEUIL
950806778,Résidence Jean Baillet,48,95100,ARGENTEUIL
950806760,Résidence Ambroise-Croizat,63,95100,ARGENTEUIL
950802488,EHPAD Val Notre-Dame,27,95100,ARGENTEUIL
950802496,EHPAD Résidence les Pensées,98,95100,ARGENTEUIL
950002261,EHPAD Korian Résidence Le Cottage ,80,95100,ARGENTEUIL
950009118,EHPAD,94,95100,ARGENTEUIL
950801761,Résidence les villageoises,30,95000,CERGY
950780924,Résidence Cergy les touleuses,77,95000,CERGY
950806893,Résidence Cergy La Bastide,66,95000,CERGY
950801621,EHPAD de Pontoise,211,95000,PONTOISE
950005009,EHPAD Résidence du Château de Neuville,156,95000,NEUVILLE SUR OISE
950807412,EHPAD Le Menhir,109,95000,CERGY
940018963,EHPAD Le Chemin Vert,21,94880,NOISEAU
940022858,USLD de l'Hôpital Paul-Brousse,0,94800,VILLEJUIF
940804321,Résidence Les lozaits,74,94800,VILLEJUIF
940011398,EHPAD Résidence Antoine de Saint-Exupéry,170,94800,VILLEJUIF
940003098,Centre d'accueil de jour PA Casa Delta 7,25,94800,VILLEJUIF
940026644,Résidence autonomie Le Soleil,69,94700,MAISONS ALFORT
940803745,Résidence Maryse Bastié,110,94700,MAISONS ALFORT
940000201,Résidence Les arcades,100,94700,MAISONS ALFORT
940816432,EHPAD Simone-Veil,63,94700,MAISONS ALFORT
940005499,EHPAD La résidence Médicis,99,94700,MAISONS ALFORT
940813116,EHPAD - Résidence Le temps des roses,64,94700,MAISONS ALFORT
940805450,Résidence Pierre Brossolette,71,94600,CHOISY LE ROI
940805468,Résidence Benoît Frachon,60,94600,CHOISY LE ROI
940020092,EHPAD,55,94600,CHOISY LE ROI
940803935,Résidence Le chêne rouge,75,94550,CHEVILLY LARUE
940803919,EHPAD Résidence Saint-Jean Eudes Fondation de Rothschild,37,94550,CHEVILLY LARUE
940814742,Ehpad Verdi,77,94520,MANDRES LES ROSES
940805385,EHPAD Résidence Normandy Cottage,61,94520,MANDRES LES ROSES
940807480,USLD gérontopsychiatrique Marie Cazin,0,94510,LA QUEUE EN BRIE
940022205,EHPAD Villa Caudacienne,140,94510,LA QUEUE EN BRIE
940790157,Résidence Louis-Talamoni,80,94500,CHAMPIGNY SUR MARNE
940000169,Foyer soleil hameaux du plateau,97,94500,CHAMPIGNY SUR MARNE
940000151,Foyer Gaston Monmousseau,16,94500,CHAMPIGNY SUR MARNE
940003718,EHPAD Les Opalines,84,94500,CHAMPIGNY SUR MARNE
940003882,EHPAD Joseph Guittard,77,94500,CHAMPIGNY SUR MARNE
940022379,EHPAD Résidence d'Amboile,94,94490,ORMESSON SUR MARNE
940023088,Accueil de jour d'Ormesson-sur-Marne,10,94490,ORMESSON SUR MARNE
940803778,Résidence Henri Laire,63,94480,ABLON SUR SEINE
940712110,EHPAD Harmonie du Centre Action Social de la Ville de Paris,142,94470,BOISSY ST LEGER
940006638,Orpea La Résidence Les Pastoureaux,99,94460,VALENTON
940022825,USLD Henri Mondor Site Emile Roux,0,94450,LIMEIL BREVANNES
940807670,Résidence Arletty,103,94450,LIMEIL BREVANNES
940007719,La maison du Jardin des Roses,30,94440,VILLECRESNES
940801285,EHPAD du Parc de Santeny,70,94440,SANTENY
940802515,EHPAD SAINT- PIERRE ,94,94440,VILLECRESNES
940812175,Résidence autonomie Robert Landry,58,94430,CHENNEVIERES SUR MARNE
940000219,Résidence du Prince de Conti,103,94420,LE PLESSIS TREVISE
940803661,Résidence de presles,49,94410,ST MAURICE
940805211,EHPAD Les Jardin des acacias,53,94410,ST MAURICE
940019631,EHPAD Le Val d'Osne,90,94410,ST MAURICE
940803471,Résidence Paul et Noémi Froment,105,94400,VITRY SUR SEINE
940803497,Résidence Lucien Français,46,94400,VITRY SUR SEINE
940803489,Résidence Justin Delbos,25,94400,VITRY SUR SEINE
940803463,Résidence Henri Barbusse,57,94400,VITRY SUR SEINE
940002264,EHPAD Les Lilas,72,94400,VITRY SUR SEINE
940022262,Accueil de jour de L'EHPAD,10,94400,VITRY SUR SEINE
940015019,EHPAD Érik Satie,82,94380,BONNEUIL SUR MARNE
940811987,EHPAD Résidence des Bords de Marne,120,94380,BONNEUIL SUR MARNE
940811532,Résidence Les Terrasses de Sucy,77,94370,SUCY EN BRIE
940806037,EHPAD Résidence les Tilleuls,48,94370,SUCY EN BRIE
940713233,EHPAD Résidence de la Cité Verte,117,94370,SUCY EN BRIE
940802630,EHPAD Résidence Les Cèdres,84,94370,SUCY EN BRIE
940800824,EHPAD des Pères blancs,48,94360,BRY SUR MARNE
940710122,EHPAD Fondation Favier,385,94360,BRY SUR MARNE
940000250,Résidence Des courts sillons,86,94350,VILLIERS SUR MARNE
940809387,EHPAD Le Vieux Colombier,202,94350,VILLIERS SUR MARNE
940803240,Résidence dagoty,30,94340,JOINVILLE LE PONT
940803265,Résidence Wilson,22,94340,JOINVILLE LE PONT
940803273,Résidence Jean-Jaurès,45,94340,JOINVILLE LE PONT
940808025,EHPAD Résidence La Vallée de la Marne,74,94340,JOINVILLE LE PONT
940790132,Résidence de l'espérance,72,94320,THIAIS
940808009,EHPAD - Résidence Les Jardins Thiais,85,94320,THIAIS
940813041,EHPA SOEURS SAINT JOSEPH DE CLUNY,50,94320,THIAIS
940808058,Résidence méliès,60,94310,ORLY
940020282,La maison du Saule Cendré,82,94310,ORLY
940022585,Résidence renon,105,94300,VINCENNES
940003858,EHPAD Le Verger de Vincennes,107,94300,VINCENNES
940804917,Foyer-Logement Jean Rostand,80,94290,VILLENEUVE LE ROI
940019300,EHPAD Tiers Temps Bicêtre,134,94270,LE KREMLIN BICETRE
940022635,Résidence autonomie Maurice Ténine,17,94260,FRESNES
940022643,Résidence autonomie La Poterne,14,94260,FRESNES
940024003,Résidence autonomie Charcot,17,94260,FRESNES
940807795,EHPAD Soleil d'automne,69,94260,FRESNES
940811003,Foyer-Logement bièvre,64,94250,GENTILLY
940803687,EHPAD Le Sacré Coeur,90,94250,GENTILLY
940007909,Résidence Pierre-Tabanou EHPAD et Foyer Logement,83,94240,L HAY LES ROSES
940803943,Résidence La vallée aux renards,64,94240,L HAY LES ROSES
940801293,Résidence Jean XXIII,131,94240,L HAY LES ROSES
940808033,EHPAD Résidence Pierre Tabanou,50,94240,L HAY LES ROSES
940805039,Résidence du moulin,98,94230,CACHAN
940803232,Résidence autonomie services l'aqueduc,82,94230,CACHAN
940802648,EHPAD Résidence Saint-Joseph,155,94230,CACHAN
940814429,EHPAD Maison de la Bièvre,63,94230,CACHAN
940803356,EHPAD Cousin de Méricourt,330,94230,CACHAN
940803828,Résidence Jeanne d'Albret,40,94220,CHARENTON LE PONT
940011109,EHPAD Gabrielle d'Estrées,68,94220,CHARENTON LE PONT
940022841,USLD de l'Hôpital Charles Foix,0,94200,IVRY SUR SEINE
940803521,Résidence chevaleret,52,94200,IVRY SUR SEINE
940803596,Résidence Danielle Casanova,22,94200,IVRY SUR SEINE
940803562,Résidence Ambroise-Croizat,20,94200,IVRY SUR SEINE
940003668,EHPAD Tiers Temps Ivry,64,94200,IVRY SUR SEINE
940012339,EHPAD L'Orangerie,133,94200,IVRY SUR SEINE
940812506,USLD les Vignes,0,94190,VILLENEUVE ST GEORGES
940811789,Résidence autonomie L'accueil II,76,94190,VILLENEUVE ST GEORGES
940007958,EHPAD Résidence Beauregard,88,94190,VILLENEUVE ST GEORGES
940805260,EHPAD Les Vignes,46,94190,VILLENEUVE ST GEORGES
940805096,Résidence villa Renée,83,94170,LE PERREUX SUR MARNE
940801343,EHPAD La Cascade,85,94170,LE PERREUX SUR MARNE
940800691,EHPAD Korian Résidence Les Lierres,65,94170,LE PERREUX SUR MARNE
940714660,EHPAD Fondation Gourlet Bontemps,83,94170,LE PERREUX SUR MARNE
940812571,Logements Lenoir Jousserand,100,94160,ST MANDE
940020001,EHPAD Résidence Lanmodez,72,94160,ST MANDE
940022494,EHPAD La Seigneurie,68,94160,ST MANDE
940011489,EHPAD Les Sorières,90,94150,RUNGIS
940808090,Résidence de l'union,62,94140,ALFORTVILLE
940803182,Résidence Voltaire,73,94140,ALFORTVILLE
940803224,Résidence Europe,52,94140,ALFORTVILLE
940807530,MAPA,60,94140,ALFORTVILLE
940020779,EHPAD Pôle Raymonde Olivier Valibouse,36,94140,ALFORTVILLE
940803190,EHPAD - résidence Bonheur le grand âge,42,94140,ALFORTVILLE
940800816,Maison de retraite Africa,82,94130,NOGENT SUR MARNE
940803117,Foyer-Logement le cèdre,46,94130,NOGENT SUR MARNE
940806045,EHPAD Maison nationale des artistes,75,94130,NOGENT SUR MARNE
940712797,EHPAD Fondation Lepoutre Nogent,36,94130,NOGENT SUR MARNE
940000144,Résidence Gaston Charles,27,94120,FONTENAY SOUS BOIS
940711237,Maison de Retraite intercommunale Hector Malot,228,94120,FONTENAY SOUS BOIS
940800683,EHPAD Saint-François-d'Assise,54,94120,FONTENAY SOUS BOIS
940021439,EHPAD Résidence Dame Blanche,100,94120,FONTENAY SOUS BOIS
940006208,La maison du Grand Cèdre,85,94110,ARCUEIL
940803281,Résidence de la Pie,142,94100,ST MAUR DES FOSSES
940810856,Foyer-Résidence Joachim-du-Bellay,108,94100,ST MAUR DES FOSSES
940015548,EHPAD résidence de l'Orme,96,94100,ST MAUR DES FOSSES
940808546,EHPAD Résidence de l'Abbaye,238,94100,ST MAUR DES FOSSES
940802937,EHPAD Résidence Villa Saint-Hilaire,38,94100,ST MAUR DES FOSSES
940813074,EHPAD Résidence Sévigné,103,94100,ST MAUR DES FOSSES
940802150,EHPAD Les Fleurs bleues,38,94100,ST MAUR DES FOSSES
940805393,EHPAD Korian Le Jardin de Neptune,78,94100,ST MAUR DES FOSSES
940022833,USLD de l'Hôpital Albert-Chenevier,0,94000,CRETEIL
940808066,Résidence Marivaux,77,94000,CRETEIL
940000128,Résidence Le halage,59,94000,CRETEIL
940017296,Résidence Joseph Franceschi,69,94000,CRETEIL
940000136,Foyer soleil des bordières,70,94000,CRETEIL
940022049,EHPAD de la Cristolienne,86,94000,CRETEIL
940804347,EHPAD Le Hameau du Mesly,94,94000,CRETEIL
940017627,EHPAD Claude Kelman,75,94000,CRETEIL
930704424,Résidence autonomie Camille-Saint-Saens,51,93800,EPINAY SUR SEINE
930015359,Ehpad Jacques Offenbach,55,93800,EPINAY SUR SEINE
930018932,EHPAD Les Jardins d'Épinay,82,93800,EPINAY SUR SEINE
930815410,EHPAD Laure Éteneau,56,93800,EPINAY SUR SEINE
930703475,Résidence Mimosa,64,93700,DRANCY
930705405,Résidence Les myosotis,38,93700,DRANCY
930700299,Foyer-Résidence Les Lillas restaurant club,52,93700,DRANCY
930023163,EHPAD Villa Beausoleil de Drancy,108,93700,DRANCY
930007109,Alzheimer hébergement pour personnes âgées dépendantes,88,93700,DRANCY
930705306,Résidence du Prefet Chaleil,64,93600,AULNAY SOUS BOIS
930800222,Résidence autonomie Les Tamaris,61,93600,AULNAY SOUS BOIS
930800230,Foyer-Logement Les cèdres,84,93600,AULNAY SOUS BOIS
930817531,EHPAD Coallia Résidence du Parc,75,93600,AULNAY SOUS BOIS
930017348,Accueil de jour Les 3 cerisiers Coallia,15,93600,AULNAY SOUS BOIS
930702089,EHPAD Résidence La Seigneurie,280,93500,PANTIN
930020904,EHPAD Les Jardins de Pantin,89,93500,PANTIN
930009428,Centre d'accueil de jour les Rives - Groupe VYV,18,93500,PANTIN
930024120,EHPAD Famili Santé de Coubron,96,93470,COUBRON
930800297,Résidence Ambroise-Croizat,79,93450,L ILE ST DENIS
930811039,Foyer soleil,70,93430,VILLETANEUSE
930021597,EHPAD Arépa Résidence Petronille,70,93420,VILLEPINTE
930002985,EHPAD Les jardins de Longuiolles,83,93410,VAUJOURS
930703152,Foyer-Logement de Saint-Quen,75,93400,ST OUEN
930700265,EHPAD Lumières d'automne,80,93400,ST OUEN
930816905,EHPAD Le Moulin Vert,89,93400,ST OUEN
930800271,Résidence autonomie Pablo Neruda,30,93390,CLICHY SOUS BOIS
930705728,EHPAD La Peupleraie,96,93380,PIERREFITTE SUR SEINE
930816962,USLD Les Ormes,0,93370,MONTFERMEIL
930816087,EHPAD Résidence des Docteurs Gaston et Paule Simon,70,93370,MONTFERMEIL
930021498,EHPAD Les Ormes,53,93370,MONTFERMEIL
930815311,Résidence Les pins,93,93360,NEUILLY PLAISANCE
930016951,EHPAD Résidence d'Églantine,44,93360,NEUILLY PLAISANCE
930023155,EHPAD Korian Lauriers de Plaisance,119,93360,NEUILLY PLAISANCE
930813530,Résidence Aline Marlin,54,93350,LE BOURGET
930021316,La Maison des Glycines ,94,93350,LE BOURGET
930816293,EHPAD Korian L'Epervier ,114,93350,LE BOURGET
930815501,USLD la Roseraie Maison Blanche,0,93330,NEUILLY SUR MARNE
930704200,Résidence le Bocage,72,93330,NEUILLY SUR MARNE
930817424,Résidence autonomie Pierre Bérégovoy,65,93330,NEUILLY SUR MARNE
930420013,EHPAD L'Oasis,23,93330,NEUILLY SUR MARNE
930023700,EHPAD Résidence Arpage Victor Hugo,84,93320,LES PAVILLONS SOUS BOIS
930817580,EHPAD Arpage les Clairières,77,93320,LES PAVILLONS SOUS BOIS
930009519,Accueil de jour le patio - Groupe VYV,10,93320,LES PAVILLONS SOUS BOIS
